Date,Id_utilisateur,Emplacement,Type_d'application,Force_du_signal,Latence,Satisfaction_des_utilisateurs,Vitesse_de_téléchargement,Débit_montant,Allocation_des_ressources
2021-12-29 18:48:05,KFP39J87,"Chicago, IL",Streaming Vidéo,-51.63654974344499,91.4423764823992,4.0,741.2655440589776,393.75764288480536,57.33099590271239
2022-06-10 21:43:16,EI7W00GI,"Chicago, IL",Navigation Web,-30.48944307215291,157.17356510528683,4.0,859.7325608184306,462.6569728767088,65.9111505218024
2022-08-16 15:08:18,TGJTVO7S,"San Antonio, TX",Jeux en Ligne,-105.31464346838912,266.53250541024727,1.0,505.59221385402816,13.365826538367266,65.98244441472502
2019-04-09 04:07:28,MZ1ZLTWK,,Visioconférence,-59.52990463383863,42.643446399838126,5.0,912.1000952315358,277.1513309352961,97.46924561616544
2022-11-27 05:35:37,J4OBHVPZ,"Dallas, TX",Jeux en Ligne,-60.372639972591074,84.73109702894142,3.0,632.1155985476769,285.37179019277045,77.90757032033441
2023-08-02 02:55:04,EGF96UNY,"San Jose, CA",Jeux en Ligne,-58.324413914709645,71.80345387404715,4.0,456.7586537563397,338.40187205913765,62.20402553701992
2019-03-11 09:04:54,DGJ2FNPS,"Houston, TX",Téléchargement de Fichiers,-115.06897868328798,134.2848316166302,3.0,114.39430741412474,247.1363458326848,47.86151599924879
2022-01-22 15:55:49,KW3VL05Y,"Houston, TX",Visioconférence,-101.6624972723196,173.53513847773,2.0,236.4221070931806,266.8784082728093,67.51715815612405
2019-11-17 10:25:50,TRB034BC,,Navigation Web,-98.91579309712353,150.00171959119334,3.0,599.859505865024,114.15729992948204,54.64668191793592
2022-06-17 04:42:00,G7T4VMYD,"Philadelphia, PA",Réseaux Sociaux,-41.1825431901314,51.46671451259608,5.0,875.7008981604785,489.44215761698894,42.75619211784399
2021-11-10 11:23:53,71ASK6CH,"Dallas, TX",Streaming Vidéo,-47.68524209049829,46.53229034376057,5.0,751.4621818080299,372.5494192811345,72.12487053000774
2023-03-11 18:47:59,BZX0R0VC,"New York, NY",Navigation Web,-31.14131297692313,39.19043887100176,5.0,907.2574112028288,190.6150271890562,29.893818320021225
2019-09-04 03:29:43,POFE5QYB,"Houston, TX",Streaming Musical,-101.99975989847536,105.24848378445353,5.0,556.5755139769908,296.7816980154297,43.01582489005989
2023-11-11 03:24:56,8SNXVD4F,"San Jose, CA",Jeux en Ligne,-34.037690080026124,116.81905557099589,4.0,776.715598263885,495.9986960538365,81.27344252503602
2022-11-09 16:35:58,FT9FLXL3,"Houston, TX",Streaming Vidéo,-34.77443318047264,49.23691394127274,5.0,969.9145507998388,342.5677844340942,91.09676636109194
2023-10-04 13:19:54,66RR9ZIC,"Phoenix, AZ",Visioconférence,-37.63048343087324,112.73548808178865,4.0,604.6399837643377,275.3151711112548,78.14924709683753
2021-08-22 05:14:33,Q7FGDIYU,"Chicago, IL",Jeux en Ligne,-37.81941758689639,142.1389406499354,4.0,696.4488337701201,321.03703031118016,77.29751376523069
2019-10-06 10:55:57,ML3RU03G,"Phoenix, AZ",Réseaux Sociaux,-69.88609622399437,103.01118439739844,5.0,474.0489475946724,424.5110309202293,57.87472884685648
2022-07-29 10:06:42,B26J71IT,"Chicago, IL",Streaming Musical,-111.37032607343625,227.5372737156668,3.0,486.4330107896003,233.89441926468425,66.60251676987754
2019-06-25 08:12:57,QTJ4VRDG,"Philadelphia, PA",Streaming Vidéo,-101.78481540564944,173.20136109792654,1.0,345.5290489933504,167.29468151389602,66.4347769074611
,DDE0SW8T,"New York, NY",Téléchargement de Fichiers,-86.88589461896132,251.3254794697861,3.0,657.2409219090505,290.2436280492278,77.9518923920795
2020-08-24 10:16:48,0UJO3HIQ,"Dallas, TX",Visioconférence,-36.26081985173607,148.3758396438783,3.0,427.45192578085386,295.6497952247964,73.19560832318246
2022-06-11 18:42:09,YKJ7PXNB,"Chicago, IL",Réseaux Sociaux,-44.62185511902791,69.39691866513294,4.0,358.8018279579799,225.6336835726564,61.6396664219507
